Hero Name,Role,Win Rate (%),Popularity (%),Ban Rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Chou,Fighter,46.76,1.45,0.51,1,4,0,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,51.58
Hanzo,Assassin,48.06,0.82,59.41,0,2,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,51.56
Johnson,Tank/Support,47.19,0.43,0.2,1,4,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.48
Yi Sun-shin,Marksman,46.64,1.37,7.37,0,2,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,51.43
Lylia,Mage,46.06,0.45,0.04,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.32
Odette,Mage,50.6,0.3,0.03,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.18
Kadita,Mage/Assassin,51.09,0.28,0.04,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.13
Gord,Mage,50.73,0.28,0.07,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,51.03
Joy,Assassin,51.91,1.56,68.18,0,2,4,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,50.99
Bane,Fighter/Mage,50.91,0.27,0.04,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.98
Terizla,Fighter/Tank,48.65,0.33,0.03,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.9
Edith,Tank/Marksman,50.72,0.26,0.04,1,0,3,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.82
Nana,Mage,43.72,0.46,0.2,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.74
Ling,Assassin,49.64,1.27,0.92,0,2,4,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,50.68
Barats,Tank/Fighter,48.25,0.11,0.03,1,2,4,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,50.58
Harley,Assassin/Mage,48.74,0.28,0.19,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.44
Kaja,Support/Fighter,51.28,0.2,0.08,1,4,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.39
Yve,Mage,51.9,0.18,0.04,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.37
Yin,Fighter/Assassin,48.05,0.28,0.38,1,2,0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,50.25
Hylos,Tank,48.87,1.24,0.82,1,4,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,50.14
Vale,Mage,48.49,0.24,0.02,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,49.95
Martis,Fighter,45.72,0.24,0.04,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,49.12
Aldous,Fighter,47.08,0.18,0.06,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.93
